"","target_taxon_name","...1","source_taxon_name","latitude","longitude","ISO_A2","NAME_ES","searched_taxon_name","country_name","Estatus.Taxonómico","Nombre.Válido","Autoridad","Rango.Taxonómico","Familia","Forma.biológica"
"1","Acacia",603,"Agapostemon (Agapostemon) angelicus",32.2493,-99.3939,"US","Estados Unidos","Acacia","Argentina|Brasil|Estados Unidos|México|Venezuela","Aceptado","Acacia","Mill.","Género","Fabaceae","Árbol|Arbusto|Bejuco|Herbácea"
"2","Acacia",604,"Agapostemon (Agapostemon) angelicus",32.5643,-99.2969,"US","Estados Unidos","Acacia","Argentina|Brasil|Estados Unidos|México|Venezuela","Aceptado","Acacia","Mill.","Género","Fabaceae","Árbol|Arbusto|Bejuco|Herbácea"
"3","Acer",275,"Agapostemon angelicus",NA,NA,NA,NA,"Acer","Estados Unidos","Aceptado","Acer","L.","Género","Sapindaceae","Árbol|Arbusto"
"4","Acer",287,"Agapostemon angelicus",37.8501,-111.3099,"US","Estados Unidos","Acer","Estados Unidos","Aceptado","Acer","L.","Género","Sapindaceae","Árbol|Arbusto"
"5","Achillea millefolium",485,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos","Achillea millefolium","Canadá|Estados Unidos","Aceptado","Achillea millefolium","L.","Especie","Asteraceae","Herbácea"
"6","Achillea millefolium",251,"Agapostemon angelicus",NA,NA,NA,NA,"Achillea millefolium","Canadá|Estados Unidos","Aceptado","Achillea millefolium","L.","Especie","Asteraceae","Herbácea"
"7","Achillea millefolium",538,"Agapostemon angelicus",37.29953,-111.12777,"US","Estados Unidos","Achillea millefolium","Canadá|Estados Unidos","Aceptado","Achillea millefolium","L.","Especie","Asteraceae","Herbácea"
"8","Agoseris glauca",412,"Agapostemon angelicus",37.3101,-111.1318,"US","Estados Unidos","Agoseris glauca","Estados Unidos","Aceptado","Agoseris glauca","(Pursh) Raf.","Especie","Asteraceae","Herbácea"
"9","Agoseris glauca",242,"Agapostemon angelicus",NA,NA,NA,NA,"Agoseris glauca","Estados Unidos","Aceptado","Agoseris glauca","(Pursh) Raf.","Especie","Asteraceae","Herbácea"
"10","Allionia incarnata",60,"Agapostemon angelicus",31.32417,-109.27,"MX","MÃ©xico","Allionia incarnata","Estados Unidos|México","Aceptado","Allionia incarnata","L.","Especie","Nyctaginaceae","Herbácea"
"11","Allionia incarnata",48,"Agapostemon angelicus",31.3306,-109.21,"US","Estados Unidos","Allionia incarnata","Estados Unidos|México","Aceptado","Allionia incarnata","L.","Especie","Nyctaginaceae","Herbácea"
"12","Allionia incarnata",121,"Agapostemon angelicus",NA,NA,NA,NA,"Allionia incarnata","Estados Unidos|México","Aceptado","Allionia incarnata","L.","Especie","Nyctaginaceae","Herbácea"
"13","Allionia incarnata",28,"Agapostemon angelicus",31.33056,-109.21,"US","Estados Unidos","Allionia incarnata","Estados Unidos|México","Aceptado","Allionia incarnata","L.","Especie","Nyctaginaceae","Herbácea"
"14","Aloysia",648,"Agapostemon (Agapostemon) angelicus",29.3283,-103.43,"US","Estados Unidos","Aloysia","Estados Unidos|México","Aceptado","Aloysia","Paláu","Género","Verbenaceae","Arbusto"
"15","Amelanchier utahensis",422,"Agapostemon angelicus",37.29953,-111.12777,"US","Estados Unidos","Amelanchier utahensis","Estados Unidos","Aceptado","Amelanchier utahensis","Koehne","Especie","Rosaceae","Arbusto"
"16","Amelanchier utahensis",237,"Agapostemon angelicus",NA,NA,NA,NA,"Amelanchier utahensis","Estados Unidos","Aceptado","Amelanchier utahensis","Koehne","Especie","Rosaceae","Arbusto"
"17","Amorpha canescens",622,"Agapostemon (Agapostemon) angelicus",39.84111,-96.64694,"US","Estados Unidos","Amorpha canescens","Estados Unidos","Aceptado","Amorpha canescens","Pursh","Especie","Fabaceae","Arbusto"
"18","Artemisia",257,"Agapostemon angelicus",NA,NA,NA,NA,"Artemisia","Argentina|Estados Unidos","Aceptado","Artemisia","L.","Género","Asteraceae","Arbusto|Herbácea"
"19","Artemisia",365,"Agapostemon angelicus",37.7728,-111.4351,"US","Estados Unidos","Artemisia","Argentina|Estados Unidos","Aceptado","Artemisia","L.","Género","Asteraceae","Arbusto|Herbácea"
"20","Asclepias",608,"Agapostemon (Agapostemon) angelicus",32.94,-114.6103,"US","Estados Unidos","Asclepias","Estados Unidos","Aceptado","Asclepias","L.","Género","Apocynaceae","Arbusto|Herbácea"
"21","Asclepias",190,"Agapostemon angelicus",NA,NA,NA,NA,"Asclepias","Estados Unidos","Aceptado","Asclepias","L.","Género","Apocynaceae","Arbusto|Herbácea"
