ClaveSp,Familia,Género,Especie,NatureServe
AGAANG,Halictidae,Agapostemon,angelicus,
AGAFEM,Halictidae,Agapostemon,femoratus,
AGAOBL,Halictidae,Agapostemon,obliquus,
AGASPL,Halictidae,Agapostemon,splendens,
AGATEX,Halictidae,Agapostemon,texanus,
AGAVIR,Halictidae,Agapostemon,virescens,
ANDARC,Andrenidae,Andrena,auricoma,
ANDCAN,Andrenidae,Andrena,candida,
ANDCAR,Andrenidae,Andrena,carlini,
ANDCER,Andrenidae,Andrena,cerasifolii,
ANDMAN,Andrenidae,Andrena,mandibularis,
ANDMIS,Andrenidae,Andrena,miserabilis,
ANDNAS,Andrenidae,Andrena,nasonii,
ANDNUB,Andrenidae,Andrena,nubecula,
ANDPRU,Andrenidae,Andrena,prunorum,
ANTBOM,Apidae,Anthophora,bomboides,
ANTEDW,Apidae,Anthophora,edwardsii,
ANTMAC,Megachilidae,Anthidium,maculifrons,
ANTMOR,Megachilidae,Anthidium,mormonum,
ANTNOT,Megachilidae,Anthidiellum,notatum,
ANTOCC,Apidae,Anthophora,occidentalis,G3
ANTPRT,Apidae,Anthophora,porterae,
ANTROB,Megachilidae,Anthidiellum,robertsoni,
ANTSQU,Apidae,Anthophora,squammulosa,
ANTTEN,Megachilidae,Anthidium,tenuiflorae,
ANTURB,Apidae,Anthophora,urbana,
ANTURS,Apidae,Anthophora,ursina,
ANTUTA,Megachilidae,Anthidium,utahense,
ASHBUC,Megachilidae,Ashmeadiella,bucconis,
ASHCAC,Megachilidae,Ashmeadiella,cactorum,
ASHCAL,Megachilidae,Ashmeadiella,californica,
ATOCOP,Megachilidae,Atoposmia,copelandica,
AUCAUR,Halictidae,Augochlorella,aurata,
AUGMET,Halictidae,Augochloropsis,metallica,
AUGPUR,Halictidae,Augochlora,pura,
BOMCAL,Apidae,Bombus,californicus,
BOMFER,Apidae,Bombus,fervidus,G3
BOMGRI,Apidae,Bombus,griseocollis,
BOMHUN,Apidae,Bombus,huntii,
BOMIMP,Apidae,Bombus,impatiens,
BOMINS,Apidae,Bombus,insularis,G3
BOMMIX,Apidae,Bombus,mixtus,
BOMMLP,Apidae,Bombus,melanopygus,
BOMNEV,Apidae,Bombus,nevadensis,
BOMPEN,Apidae,Bombus,pensylvanicus,G3
BOMRUF,Apidae,Bombus,rufocinctus,
BOMSON,Apidae,Bombus,sonorus,
BOMSUC,Apidae,Bombus,suckleyi,G2
BOMVOS,Apidae,Bombus,vosnesenskii,
CALAND,Andrenidae,Calliopsis,andreniformis,
CERACA,Apidae,Ceratina,acantha,
CERNAN,Apidae,Ceratina,nanula,
CERNAU,Apidae,Ceratina,nautlana,
CERNEO,Apidae,Ceratina,neomexicana,
COEOCT,Megachilidae,Coelioxys,octodentatus,
